Parcela,ID,Código,Nombre_común,Nombre_científico,Familia,Ht1_(m),Hc1_(m),CAP1,CAP2_(cm),CAP3_(cm),CAP4_(cm),CAP5_(cm)
1,1,1-1,Chagualo,Clusia multiflora Kunth,Clusiaceae Lindl.,10,2,33,,,,
1,2,1-2,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,6,2,32,,,,
1,3,1-3,Laurel amarillo,Ocotea veraguensis (Meisn.) Mez,Lauraceae Juss.,7,3,36,,,,
1,4,1-4,Chagualo,Clusia multiflora Kunth,Clusiaceae Lindl.,16,9,86,,,,
1,5,1-5,Tuno,Bellucia grossularioides (L.) Triana,Melastomataceae Juss.,10,4,47,,,,
1,6,1-6,Laurel,Nectandra Sp1.,Lauraceae Juss.,8,6,32,,,,
1,7,1-7,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,4,2.5,42,,,,
1,8,1-8,Mano de oso,Oreopanax peltatus Linden,Araliaceae Juss.,9,8,41,,,,
1,9,1-9,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3,0,50,,,,
1,10,1-10,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2,0,52,,,,
1,11,1-11,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,8,3,73,,,,
1,12,1-12,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4,0,37,,,,
1,13,1-13,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,5,3,33,,,,
1,14,1-14,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,9,5,65,,,,
1,15,1-15,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4,0,50,,,,
1,16,1-16,Tabaquillo,Macrocarpaea macrophylla (Kunth) Gilg,Gentianaceae Juss.,8,5,54,,,,
1,17,1-17,Tuno,Bellucia grossularioides (L.) Triana,Melastomataceae Juss.,6,3,34,,,,
1,18,1-18,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,6,5,32,,,,
1,19,1-19,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3,0,51,,,,
1,20,1-20,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2,0,43,,,,
1,21,1-21,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3,0,42,,,,
1,22,1-22,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,6,6,74,,,,
1,23,1-23,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,6,4,33,,,,
1,24,1-24,Gaque,Clusia rosea jacq,Clusiaceae Lindl.,7,4,43,,,,
1,25,1-25,Gaque,Clusia rosea jacq,Clusiaceae Lindl.,6,3,32,,,,
1,26,1-26,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,9,4,50,,,,
1,27,1-27,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,6,4,41,,,,
1,28,1-28,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2,0,35,,,,
1,29,1-29,Arrayan,Eugenia albida Bonpl.,Myrtaceae Juss.,6.5,4,41,,,,
1,30,1-30,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,5.5,4,33,,,,
1,31,1-31,Tuno rosado,Miconia Sp2.,Melastomataceae Juss.,6.5,4,48,,,,
